,level_0,index,state,state_location,id,backers_count,parent_id_category,converted_pledged_amount,pledged,name_category,goal,thumb_photo,score,fascia
419,419,419,successful,Puglia,368835290,87,design,8047,7459.0,Product Design,5000.0,https://ksr-ugc.imgix.net/assets/015/544/059/219c1e179eada20ec4e70c0c5b216fbd_original.jpg?crop=faces&w=48&h=27&fit=crop&v=1487690083&auto=format&q=92&s=a743626812e68faa0b21ddd138c944e4,64.5703176281802,Media
420,420,420,failed,Lazio,368920741,1,design,11,10.0,Civic Design,1500.0,https://ksr-ugc.imgix.net/assets/012/353/014/ad380904b8df83f93402d6b099e3fc9c_original.JPG?crop=faces&w=48&h=27&fit=crop&v=1463756324&auto=format&q=92&s=a97e4e51733ede17d8a533a73531e2d8,-10.09127545969,Bassa
421,421,421,failed,Lombardia,368979702,28,journalism,583,510.0,Print,4500.0,https://ksr-ugc.imgix.net/assets/016/880/353/6307b4c4bd9a749c404447591b8868f6_original.jpg?crop=faces&w=48&h=27&fit=crop&v=1496407021&auto=format&q=92&s=7fafe9994ccc6e4b8a4b81401151dadb,0.0,Media
422,422,422,failed,Friuli Venezia Giulia,370547306,6,fashion,410,377.0,Ready-to-wear,3000.0,https://ksr-ugc.imgix.net/assets/015/658/915/eb433d3f212560ea25bd1c99e8c1acd2_original.jpg?crop=faces&w=48&h=27&fit=crop&v=1488971322&auto=format&q=92&s=3b92909ebcfb2bc447176db38b265214,6.29968811099931,Bassa
423,423,423,failed,Umbria,372481446,10,technology,4226,3610.0,Wearables,100000.0,https://ksr-ugc.imgix.net/assets/021/604/429/748d5c232cc825d45f34510d0143053d_original.png?crop=faces&w=48&h=27&fit=crop&v=1529184317&auto=format&q=92&s=143a134bd179bd339969e8caafa3f483,10.2964967521209,Alta
424,424,424,successful,Abruzzo,374636000,28,crafts,3275,2906.0,Publishing,2900.0,https://ksr-ugc.imgix.net/assets/025/332/281/45ab04713863688326c5350bfbd0c6ab_original.jpeg?ixlib=rb-2.1.0&crop=faces&w=48&h=27&fit=crop&v=1559324989&auto=format&frame=1&q=92&s=c24dcffb5e5f587d6931fd6f6aae5575,32.5851095652172,Bassa
425,425,425,failed,Piemonte,375316011,8,comics,1118,1027.0,Graphic Novels,4500.0,https://ksr-ugc.imgix.net/assets/013/543/218/4404c1c9acc552b6cc824f9a92ac6274_original.jpg?crop=faces&w=48&h=27&fit=crop&v=1472564721&auto=format&q=92&s=31923154ff3af624d40be833b25e693b,22.5158736954575,Media
426,426,426,failed,Toscana,376865878,17,technology,3752,3334.0,3D Printing,45000.0,https://ksr-ugc.imgix.net/assets/012/284/482/3ba9d292b1be8dc7b3e721d595805f3e_original.png?crop=faces&w=48&h=27&fit=crop&v=1463750556&auto=format&q=92&s=d39bb23daa75ed45234429bf250ed2ec,74.2336111592615,Alta
427,427,427,failed,Campania,377161793,0,fashion,0,0.0,Accessories,20000.0,https://ksr-ugc.imgix.net/assets/012/190/318/bcb9e859e6ddf1174e34d03b29e32017_original.jpg?crop=faces&w=48&h=27&fit=crop&v=1463740422&auto=format&q=92&s=6a5eaa2738e9a9bc81f85d38a85d4cff,0.0,Alta
428,428,428,failed,Sicilia,379042490,1,music,1,1.0,Jazz,10000.0,https://ksr-ugc.imgix.net/assets/012/408/199/4856f8dec32a13d11a565df5286ea51b_original.jpg?crop=faces&w=48&h=27&fit=crop&v=1463759768&auto=format&q=92&s=f6e8999188509e5655e5b4aeb84b8640,0.0,Media
429,429,429,successful,Sicilia,380629724,65,crafts,6780,6032.7,Food,6000.0,https://ksr-ugc.imgix.net/assets/015/903/221/8d87a41e5cb21ac6cd218c8356a10de4_original.jpg?crop=faces&w=48&h=27&fit=crop&v=1489766307&auto=format&q=92&s=e73c2947a623097974fee7b78eeae3e3,54.1110118381793,Media
430,430,430,failed,Piemonte,380887002,1,games,1,1.0,Live Games,10000.0,https://ksr-ugc.imgix.net/assets/022/470/889/e0fd74f235982b8547199cf067954c04_original.jpeg?ixlib=rb-1.1.0&crop=faces&w=48&h=27&fit=crop&v=1536260696&auto=format&frame=1&q=92&s=3049ff60db5c796cc93a54b3d2683f83,23.8213417145189,Media
431,431,431,failed,Marche,382032660,6,fashion,557,464.0,Accessories,9600.0,https://ksr-ugc.imgix.net/assets/016/763/566/21617bd974201229a77207b60cfd89bc_original.jpg?crop=faces&w=48&h=27&fit=crop&v=1495392588&auto=format&q=92&s=1b9ccf5a00426ff7bc861a60f6b3ccd4,21.875156706165,Media
432,432,432,successful,Toscana,382173360,17,technology,965,866.0,Gadgets,500.0,https://ksr-ugc.imgix.net/assets/012/444/509/2f63201f05b21bbb83c1d2b45c441408_original.jpg?crop=faces&w=48&h=27&fit=crop&v=1463761482&auto=format&q=92&s=b7db59b562107e6f7e0e3373db43a740,39.0967670639112,Bassa
433,433,433,failed,Veneto,382257253,175,technology,8144,7423.0,Gadgets,33000.0,https://ksr-ugc.imgix.net/assets/015/756/407/e960850c387be718950b1a060c805942_original.jpeg?crop=faces&w=48&h=27&fit=crop&v=1492641440&auto=format&q=92&s=ed3481e53f3425ab90374562d25f9f21,0.0,Alta
434,434,434,failed,Liguria,383666453,0,art,0,0.0,Sculpture,30000.0,https://ksr-ugc.imgix.net/assets/016/034/512/64677a15b496a2bbe2d14381e909e393_original.jpg?crop=faces&w=48&h=27&fit=crop&v=1490706157&auto=format&q=92&s=fab57cf7cdf0196e66fb5ad758d507b5,33.1581897571328,Alta
435,435,435,failed,Emilia-Romagna,383702461,1,food,5,5.0,Drinks,200000.0,https://ksr-ugc.imgix.net/assets/012/985/141/d1b17316d821fad66073d41c4a39fd32_original.jpg?crop=faces&w=48&h=27&fit=crop&v=1467895027&auto=format&q=92&s=55ae63a2fb90a54888e5359edfb258e9,43.0251157354474,Alta
436,436,436,failed,Toscana,383702702,15,music,903,745.0,Classical Music,8500.0,https://ksr-ugc.imgix.net/assets/020/515/727/dfcc895560afa1de0d3211ebb970d394_original.png?ixlib=rb-1.1.0&crop=faces&w=48&h=27&fit=crop&v=1524316294&auto=format&frame=1&q=92&s=fca5129e22ce72ee09fb43d4d5539c3e,23.8685269021238,Media
437,437,437,failed,Piemonte,388140378,0,music,0,0.0,Electronic Music,3000.0,https://ksr-ugc.imgix.net/assets/013/239/651/0921ef95e3bc232266683180855714e7_original.jpg?crop=faces&w=48&h=27&fit=crop&v=1470049635&auto=format&q=92&s=861384f0c2b773c48d248f513776e7ad,27.1118131185208,Bassa
438,438,438,successful,Umbria,389678793,4021,games,387635,314431.69,Tabletop Games,55000.0,https://ksr-ugc.imgix.net/assets/020/223/593/4186e56b9995b1a77af3a27fc6aa252f_original.png?crop=faces&w=48&h=27&fit=crop&v=1520430592&auto=format&q=92&s=0c69278de7c8f6b48a704d3f776877fa,0.0,Alta
439,439,439,failed,Piemonte,390237863,0,technology,0,0.0,Robots,60000.0,https://ksr-ugc.imgix.net/assets/012/180/560/562d4419e5cfb23c93df233afcd986d8_original.png?crop=faces&w=48&h=27&fit=crop&v=1463739735&auto=format&q=92&s=9eff97e6fdb34f963645ba355715a78f,15.301640268957,Alta
440,440,440,failed,Emilia-Romagna,391350335,8,technology,351,290.0,Apps,40000.0,https://ksr-ugc.imgix.net/assets/020/703/396/7cb954194603bfdee52f875735e2fa76_original.jpg?ixlib=rb-1.1.0&crop=faces&w=48&h=27&fit=crop&v=1522263795&auto=format&frame=1&q=92&s=57e7bd6e19142c427c9f1a8849f17a14,0.0,Alta
441,441,441,successful,Piemonte,392312852,77,games,8203,7139.0,Tabletop Games,2000.0,https://ksr-ugc.imgix.net/assets/020/928/967/610ab35acef685c69345ba9863db58ec_original.jpg?ixlib=rb-1.1.0&crop=faces&w=48&h=27&fit=crop&v=1536337773&auto=format&frame=1&q=92&s=42453d81e6eb7a6d4884d444c3cf8311,14.578449945531,Bassa
442,442,442,failed,Piemonte,392578888,38,art,558,484.0,Illustration,3000.0,https://ksr-ugc.imgix.net/assets/012/391/688/1fa7db5fd7e34892002b843ebd112135_original.png?crop=faces&w=48&h=27&fit=crop&v=1463758687&auto=format&q=92&s=b73ed32d32405e1e02ffc5254b418809,103.901956726706,Bassa
443,443,443,failed,Lazio,394608367,1,art,1,1.0,Illustration,1500.0,https://ksr-ugc.imgix.net/assets/014/028/947/7d68552e6a2bbb1d111e3a0bf9cd14d9_original.jpg?crop=faces&w=48&h=27&fit=crop&v=1475920070&auto=format&q=92&s=4627063293293400200cb8ae47c0d402,0.0,Bassa
444,444,444,successful,Emilia-Romagna,395515114,66,fashion,18670,15953.0,Apparel,8400.0,https://ksr-ugc.imgix.net/assets/021/090/653/60358ea42a2fb5035ef93325fd13e07b_original.jpg?crop=faces&w=48&h=27&fit=crop&v=1525253812&auto=format&q=92&s=e4ffef7affc9f9714b123de67d21d176,15.3051668004523,Media
445,445,445,successful,Puglia,398143595,23,theater,576,510.0,Experimental,500.0,https://ksr-ugc.imgix.net/assets/024/344/940/9091685e0705bcdfdfd62fc9000d61bb_original.jpg?ixlib=rb-2.0.0&crop=faces&w=48&h=27&fit=crop&v=1552052456&auto=format&frame=1&q=92&s=7bdcfcbe8f701cd2d2c17996e7dba4ab,6.09039535118299,Bassa
446,446,446,successful,Marche,398188671,17,design,1491,1250.0,Product Design,1200.0,https://ksr-ugc.imgix.net/assets/017/336/429/97ac21a319b1aee24f157b9f1d83d450_original.jpg?ixlib=rb-1.1.0&crop=faces&w=48&h=27&fit=crop&v=1520959932&auto=format&frame=1&q=92&s=99c08636b14a5be1318a448c2c38e7b0,19.6826314297607,Bassa
447,447,447,failed,Piemonte,399980443,1,photography,11,10.0,Fine Art,800.0,https://ksr-ugc.imgix.net/assets/012/418/183/d6ee84865acc60ef25c87b640a5fbfd8_original.jpg?crop=faces&w=48&h=27&fit=crop&v=1463760257&auto=format&q=92&s=ac4c04a6e258bc733979adf19355fbe8,27.9161036379352,Bassa
448,448,448,failed,Abruzzo,400388231,1,design,11,10.0,Architecture,50000.0,https://ksr-ugc.imgix.net/assets/018/363/598/cab4a3ab791f30819f64a7f2f363d830_original.jpg?crop=faces&w=48&h=27&fit=crop&v=1505641458&auto=format&q=92&s=92094f35e07f8cdc29cc8a6b1dab0db5,30.1613017137066,Alta
449,449,449,failed,Emilia-Romagna,401265835,0,fashion,0,0.0,Accessories,10000.0,https://ksr-ugc.imgix.net/assets/012/261/160/14e7258c4a143869e0688e26b061ae1c_original.jpg?crop=faces&w=48&h=27&fit=crop&v=1463747575&auto=format&q=92&s=70ab32c651860fa508c320caa08c9de5,9.53253001156551,Media
450,450,450,failed,Piemonte,402532703,2,design,6,6.0,Graphic Design,150.0,https://ksr-ugc.imgix.net/assets/023/075/904/9cb419d1579711e9bdecf61615db9b0a_original.jpg?ixlib=rb-1.1.0&crop=faces&w=48&h=27&fit=crop&v=1540899720&auto=format&frame=1&q=92&s=c6b0b059ca5a9a5b3840feff0a88be5f,0.0,Bassa
451,451,451,successful,Lombardia,403285788,86,technology,2440,2269.0,3D Printing,700.0,https://ksr-ugc.imgix.net/assets/015/847/128/f983f4286bf45f9904c77d4816b825e4_original.jpg?crop=faces&w=48&h=27&fit=crop&v=1490117024&auto=format&q=92&s=1d2c47174033e4639a6fc04b976c6de5,-16.6196681336559,Bassa
452,452,452,failed,Lombardia,403489048,33,technology,29910,28298.0,Robots,75000.0,https://ksr-ugc.imgix.net/assets/012/424/558/81914d93172e9d53b3a492c4a6ea2cbc_original.jpg?crop=faces&w=48&h=27&fit=crop&v=1463760549&auto=format&q=92&s=770bce75abac9b73d1eb901ff70f5f29,14.405208596193,Alta
453,453,453,failed,Piemonte,404339589,0,art,0,0.0,Conceptual Art,5000.0,https://ksr-ugc.imgix.net/assets/018/764/480/4345f7aa61d4d920692fff703bc053de_original.jpg?crop=faces&w=48&h=27&fit=crop&v=1508106441&auto=format&q=92&s=541a65ab76b0c5bbf3b2fb3cd45c313a,29.0311969708768,Media
454,454,454,failed,Campania,404498508,3,technology,35,31.0,Flight,150000.0,https://ksr-ugc.imgix.net/assets/023/054/174/26d47869afa443032b0c0b90c97fd63c_original.png?ixlib=rb-1.1.0&crop=faces&w=48&h=27&fit=crop&v=1540739490&auto=format&frame=1&q=92&s=678a93277bd57d5ffc200942f6df2bdb,0.0,Alta
455,455,455,failed,Toscana,407990682,13,technology,1208,1061.0,Hardware,180000.0,https://ksr-ugc.imgix.net/assets/012/348/307/09552b2639c70f3683961b8f2f90c572_original.jpg?crop=faces&w=48&h=27&fit=crop&v=1463756159&auto=format&q=92&s=a5c06568cd97b4c7751c523e672c05cc,23.8323500328709,Alta
456,456,456,successful,Sardegna,409030617,13,food,2402,2112.0,Restaurants,2000.0,https://ksr-ugc.imgix.net/assets/012/263/002/76ea178d9d6248d4cfa761aeef0eec51_original.jpg?crop=faces&w=48&h=27&fit=crop&v=1463747780&auto=format&q=92&s=f50972a0bfe1eb00aeb1d05368c84d9f,107.67982448393,Bassa
457,457,457,failed,Piemonte,409574155,3,technology,50,45.0,Fabrication Tools,35000.0,https://ksr-ugc.imgix.net/assets/012/195/779/bb879f32024cf9156c975a443367ecba_original.jpg?crop=faces&w=48&h=27&fit=crop&v=1463740949&auto=format&q=92&s=b4bacca8c0858c2d48b1e1a13668104e,7.78007041496969,Alta
458,458,458,failed,Piemonte,410125309,3,technology,814,770.0,Wearables,145000.0,https://ksr-ugc.imgix.net/assets/013/915/919/9fa66368494426913651ff27a0839deb_original.jpg?crop=faces&w=48&h=27&fit=crop&v=1475168139&auto=format&q=92&s=9717ca1aec91caabba5e74d91d243377,53.6281360056665,Alta
459,459,459,failed,Piemonte,410505777,1,games,87,75.0,Mobile Games,1800.0,https://ksr-ugc.imgix.net/assets/018/648/170/c65e4c6149bef9f5a881bbcf3c48d3ea_original.png?crop=faces&w=48&h=27&fit=crop&v=1507394173&auto=format&q=92&s=09f77e6fb7ffa7be32e3fd06884c9555,29.5103996684306,Bassa
460,460,460,failed,Piemonte,410719647,3,Film & Video,24,21.0,Science Fiction,7000.0,https://ksr-ugc.imgix.net/assets/016/465/519/e09b4aa8c52cb9dd58d0b6b899ab6f19_original.jpg?crop=faces&w=48&h=27&fit=crop&v=1526814168&auto=format&q=92&s=504a398a5e4847dac3c4c3faea2c74ce,26.8604468294941,Media
461,461,461,failed,Sardegna,413294537,2,design,126,107.0,Architecture,500000.0,https://ksr-ugc.imgix.net/assets/018/065/052/19ee0518afa2648e7d12e5da77333ea0_original.jpg?crop=faces&w=48&h=27&fit=crop&v=1503681834&auto=format&q=92&s=eb1add86c86cb4da1ccedeccdc9b9d4c,56.0227489302967,Alta
462,462,462,failed,Abruzzo,413491166,0,art,0,0.0,Installations,275000.0,https://ksr-ugc.imgix.net/assets/012/214/074/6de78a3c5a0180825afa1a9ebad2aa6d_original.jpg?crop=faces&w=48&h=27&fit=crop&v=1463742751&auto=format&q=92&s=b9153f3682c9fa7243d562f9beaf3f60,16.2167892831542,Alta
463,463,463,successful,Lazio,413576185,418,technology,24520,21477.0,Hardware,10000.0,https://ksr-ugc.imgix.net/assets/023/212/206/d1f908b56790b72351442b090dacdb2a_original.jpg?ixlib=rb-1.1.0&crop=faces&w=48&h=27&fit=crop&v=1541860286&auto=format&frame=1&q=92&s=1cb7e534a403042358f51ec40c662493,155.845,Media
464,464,464,failed,Puglia,414708073,4,food,561,471.0,Vegan,7000.0,https://ksr-ugc.imgix.net/assets/020/724/899/c23c61bfcc386453e865d282dc77a889_original.jpg?crop=faces&w=48&h=27&fit=crop&v=1523189346&auto=format&q=92&s=9a69a03cfcb92157680a757c782977da,72.2826788885168,Media
465,465,465,failed,Calabria,415134024,3,technology,52,45.0,Web,5000.0,https://ksr-ugc.imgix.net/assets/018/558/332/245d6c4eefb5a7b04c75a9842ef975a4_original.jpg?crop=faces&w=48&h=27&fit=crop&v=1506867935&auto=format&q=92&s=c12f857da954fd96459527951977f0c6,0.0,Media
466,466,466,failed,Emilia-Romagna,417199020,11,games,285,251.5,Playing Cards,10000.0,https://ksr-ugc.imgix.net/assets/022/521/768/86c6a0a981774b2556932f373bd7eac0_original.jpg?ixlib=rb-1.1.0&crop=faces&w=48&h=27&fit=crop&v=1537024974&auto=format&frame=1&q=92&s=2d7ea7c268a5dc324617d55a47e623c3,21.0207392941297,Media
467,467,467,failed,Veneto,417847778,1,Film & Video,5,5.0,Horror,8000.0,https://ksr-ugc.imgix.net/assets/013/842/826/9bacb78696d8e044da5d9e09ce9b25ca_original.jpg?crop=faces&w=48&h=27&fit=crop&v=1474621829&auto=format&q=92&s=af043859572638fb0c44cdf6a9a465b4,18.1388673507792,Media
468,468,468,successful,Lombardia,418093317,98,design,26706,23000.0,Product Design,23000.0,https://ksr-ugc.imgix.net/assets/021/668/589/f26e62430ddfa395f60975f9dda67714_original.jpg?ixlib=rb-1.1.0&crop=faces&w=48&h=27&fit=crop&v=1529686576&auto=format&frame=1&q=92&s=38fb0af90a3993cd59ef45a5add7ba9f,10.4001681258336,Alta
469,469,469,failed,Lazio,418474291,3,technology,51,46.0,Web,10000.0,https://ksr-ugc.imgix.net/assets/025/316/900/00861c13fd5501d13c549fb369dfe386_original.png?ixlib=rb-2.1.0&crop=faces&w=48&h=27&fit=crop&v=1559224827&auto=format&frame=1&q=92&s=a4a9f412f64bcea8dff545b6240f11f1,0.0,Media
470,470,470,failed,Piemonte,418519237,1,technology,10,10.0,Web,5000.0,https://ksr-ugc.imgix.net/assets/012/341/710/63d0c309ab12577c99843ac3db6057cf_original.jpg?crop=faces&w=48&h=27&fit=crop&v=1463756043&auto=format&q=92&s=bf1d7ba1ec8376d6c6654a39247d8211,82.697279946653,Media
471,471,471,successful,Piemonte,419410734,163,games,2300,2025.22,Tabletop Games,250.0,https://ksr-ugc.imgix.net/assets/025/486/558/945a8d179a0eee6350154eda6591fab3_original.jpg?ixlib=rb-2.1.0&crop=faces&w=48&h=27&fit=crop&v=1560511406&auto=format&frame=1&q=92&s=cd2df0c123416cb080ec82b648905a73,24.0346283497567,Bassa
472,472,472,failed,Lombardia,420024654,90,fashion,2896,2541.0,Footwear,25000.0,https://ksr-ugc.imgix.net/assets/012/390/421/f6cff4600d63b22f17769d062a547d6d_original.jpg?crop=faces&w=48&h=27&fit=crop&v=1463758614&auto=format&q=92&s=6121471de876c9db66a493b548a38339,0.0,Alta
473,473,473,failed,Lombardia,421061596,0,technology,0,0.0,3D Printing,100000.0,https://ksr-ugc.imgix.net/assets/016/784/925/2ef0386c279bf3e9004a0c3cb371c6e6_original.JPG?crop=faces&w=48&h=27&fit=crop&v=1495528200&auto=format&q=92&s=0f2ced6f8d05c9c8cff1f72bc6a69054,22.1400397341767,Alta
474,474,474,failed,Toscana,421823832,5,fashion,67,60.0,Accessories,500.0,https://ksr-ugc.imgix.net/assets/016/788/802/6a6acf38760aded041818badafcdb71e_original.jpg?crop=faces&w=48&h=27&fit=crop&v=1495706704&auto=format&q=92&s=08206cf5a288b8f41d962e742d40ebc5,0.0,Bassa
475,475,475,successful,Piemonte,422132309,34,comics,760,682.0,Comic Books,500.0,https://ksr-ugc.imgix.net/assets/013/230/282/9d7c551b127dbb4111c1a917b9eda96f_original.jpg?crop=faces&w=48&h=27&fit=crop&v=1470046433&auto=format&q=92&s=fe9970862522e0ea73181239f84f481e,124.458302715254,Bassa
476,476,476,failed,Lazio,425959722,1,technology,1,1.0,Web,200000.0,https://ksr-ugc.imgix.net/assets/019/837/022/0b48b05fdf827c83ed4340013390ec78_original.jpg?ixlib=rb-1.1.0&crop=faces&w=48&h=27&fit=crop&v=1515696817&auto=format&frame=1&q=92&s=6db224e0164f95788d8bc5009cc8363f,0.0,Alta
477,477,477,successful,Piemonte,426358661,38,design,3586,3163.0,Product Design,3000.0,https://ksr-ugc.imgix.net/assets/016/880/850/e021dfe7f94d926ead898e8b239dd32f_original.jpg?crop=faces&w=48&h=27&fit=crop&v=1497286543&auto=format&q=92&s=8675e06dc194184afb1009fe4efce8da,7.73166667370114,Bassa
478,478,478,failed,Veneto,431491657,4,food,224,192.0,Vegan,30000.0,https://ksr-ugc.imgix.net/assets/021/322/440/ff4aee9dd2da9d07d2b4c1d14f04cb19_original.jpg?crop=faces&w=48&h=27&fit=crop&v=1527031777&auto=format&q=92&s=d239499e6c683b837e44e7148db0e2ed,9.40473841394166,Alta
479,479,479,failed,Sardegna,431608823,0,music,0,0.0,R&B,3000.0,https://ksr-ugc.imgix.net/assets/013/202/299/5f0d46d3d95be25b33d900a06757506e_original.jpg?crop=faces&w=48&h=27&fit=crop&v=1469713716&auto=format&q=92&s=5f3f40714aa8086a8e1203775c8df396,32.5398810668493,Bassa
480,480,480,successful,Piemonte,432239433,126,technology,160604,145829.0,Gadgets,50000.0,https://ksr-ugc.imgix.net/assets/012/664/237/47b8b81fe5bf783130c645e6f82b6dde_original.jpg?crop=faces&w=48&h=27&fit=crop&v=1465638818&auto=format&q=92&s=34c32e959d950ecb5141dbf1156b1fb2,1.7806043157436,Alta
481,481,481,failed,Lazio,432249998,4,art,160,136.0,Digital Art,10000.0,https://ksr-ugc.imgix.net/assets/017/160/878/a51113a817b1d3d656f12b3dee9a921b_original.jpg?crop=faces&w=48&h=27&fit=crop&v=1498216451&auto=format&q=92&s=ba47e7b6aaa972930fe028a3aa8c8f2c,-10.4980655357624,Media
